phone,image,psnr_median,psnr_gaussian,mse_median,mse_gaussian,ssim_median,ssim_gauss
phone1_iPhone15Plus,1_high_resolution,30.884420196193183,31.74399465242503,0.0008157516865966646,0.0006692687310224154,0.8628786,0.89920527
phone1_iPhone15Plus,2_low_resolution,27.002284748154164,28.041148999221402,0.0019942129180338178,0.0015699473933507516,0.75297624,0.81017655
phone1_iPhone15Plus,3_high_light,37.78711289475237,37.438625033186206,0.0001664518822387693,0.00018035886626972296,0.97850436,0.97942287
phone1_iPhone15Plus,4_low_light,46.67090731419797,47.16042453286751,2.1523320293987676e-05,1.9229037514482696e-05,0.9835827,0.98676807
phone1_iPhone15Plus,5_weather_occlusion,32.049033229275764,32.036753823461986,0.000623873698794242,0.0006256401588974873,0.9311123,0.9409726
phone2_SamsungS21fe,1_high_resolution,38.53031648297772,38.873709395051684,0.0001402711481185719,0.00012960717975416962,0.9057004,0.9219503
phone2_SamsungS21fe,2_low_resolution,28.77189061452104,28.78370330561461,0.0013268167287530976,0.0013232127271647195,0.8576618,0.87974405
phone2_SamsungS21fe,3_high_light,38.201067045631504,38.24469814376442,0.00015131894176630535,0.00014980633722714288,0.96626824,0.96940947
phone2_SamsungS21fe,4_low_light,42.05959071209463,42.33865190538743,6.2235893477051e-05,5.8362623972955513e-05,0.9466979,0.95377177
phone2_SamsungS21fe,5_weather_occlusion,34.3955239192129,35.16905928915471,0.00036345245613930634,0.0003041543773018546,0.94533634,0.9556573
phone3_OnePlus6T,1_high_resolution,43.05744641765138,42.24491611615154,4.946014192585221e-05,5.963598383952129e-05,0.98741204,0.9870453
phone3_OnePlus6T,2_low_resolution,39.635195015893046,39.46789591406266,0.00010876282975985207,0.00011303434149848112,0.97387266,0.97491765
phone3_OnePlus6T,3_high_light,31.285574755507085,32.17987447865156,0.0007437766232504191,0.000605358370785774,0.8762378,0.89743716
phone3_OnePlus6T,4_low_light,34.34507317379156,34.71955768083775,0.0003676991980033569,0.0003373216623620679,0.94011116,0.9462468
phone3_OnePlus6T,5_Weather_occulsion,39.583280744095866,39.476944852812764,0.00011007074997700771,0.00011279906888460726,0.97565794,0.97882724
phone4_SamsungGalaxyA34,1_high_resolution,21.93649776186749,22.905060522462094,0.006402509386028737,0.005122641313982175,0.6210079,0.69517964
phone4_SamsungGalaxyA34,2_low_resolution,24.33318947941575,25.226272436986857,0.003687067191393786,0.0030017378145172514,0.580266,0.66491157
phone4_SamsungGalaxyA34,3_high_light,22.880120813323522,23.863281139699527,0.005152143119982832,0.0041083921055231325,0.5161198,0.6208014
phone4_SamsungGalaxyA34,4_low_light,35.72294707943671,36.48365231414832,0.0002677350884387965,0.00022471639990538582,0.93840265,0.950011
phone4_SamsungGalaxyA34,5_Weather_Occulsion,23.707223231668394,24.70514399560021,0.004258706169327788,0.003384430501906693,0.67241067,0.7375684
phone5_NothingPhone2A,1_high_resolution,37.003324916230575,37.470268110188066,0.00019937353461755707,0.00017904953150176887,0.9311809,0.9449089
phone5_NothingPhone2A,2_low_resolution,53.56151264565908,52.77216672979578,4.404014451719651e-06,5.281816719823628e-06,0.9970317,0.9969651
phone5_NothingPhone2A,3_High_light,41.57460223708136,41.81250189516262,6.958886870415318e-05,6.587942659589856e-05,0.97657824,0.9799461
phone5_NothingPhone2A,4_low_light,46.25188284555796,46.863350379702126,2.3703458402596887e-05,2.0590408462679066e-05,0.9857413,0.9878359
phone5_NothingPhone2A,5_Weather_occulsion,24.703008200498683,25.557347723579653,0.0033860953233819284,0.002781411382740864,0.6238869,0.6920815
