image,set,num_obb
1_high_resolution.jpeg,original,1
2_low_resolution.jpeg,original,2
3_high_light.jpeg,original,0
4_low_light.jpeg,original,0
5_weather_occlusion.jpeg,original,1
1_high_resolution.jpg,original,0
2_low_resolution.jpeg,original,0
3_high_light.jpg,original,1
4_low_light.jpg,original,0
5_weather_occlusion.jpg,original,0
1_high_resolution.jpg,original,0
2_low_resolution.jpg,original,0
3_high_light.jpg,original,0
4_low_light.jpg,original,3
5_Weather_occulsion.jpg,original,0
1_high_resolution.jpg,original,0
2_low_resolution.jpg,original,0
3_high_light.jpg,original,0
4_low_light.jpg,original,1
5_Weather_Occulsion.jpg,original,0
1_high_resolution.jpg,original,1
2_low_resolution.jpg,original,0
3_High_light.jpg,original,5
4_low_light.jpg,original,0
5_Weather_occulsion.jpg,original,0
phone1_iPhone15Plus_1_high_resolution_median.jpg,median,0
phone1_iPhone15Plus_2_low_resolution_median.jpg,median,2
phone1_iPhone15Plus_3_high_light_median.jpg,median,0
phone1_iPhone15Plus_4_low_light_median.jpg,median,0
phone1_iPhone15Plus_5_weather_occlusion_median.jpg,median,1
phone2_SamsungS21fe_1_high_resolution_median.jpg,median,0
phone2_SamsungS21fe_2_low_resolution_median.jpg,median,0
phone2_SamsungS21fe_3_high_light_median.jpg,median,1
phone2_SamsungS21fe_4_low_light_median.jpg,median,0
phone2_SamsungS21fe_5_weather_occlusion_median.jpg,median,0
phone3_OnePlus6T_1_high_resolution_median.jpg,median,0
phone3_OnePlus6T_2_low_resolution_median.jpg,median,0
phone3_OnePlus6T_3_high_light_median.jpg,median,0
phone3_OnePlus6T_4_low_light_median.jpg,median,21
phone3_OnePlus6T_5_Weather_occulsion_median.jpg,median,0
phone4_SamsungGalaxyA34_1_high_resolution_median.jpg,median,1
phone4_SamsungGalaxyA34_2_low_resolution_median.jpg,median,0
phone4_SamsungGalaxyA34_3_high_light_median.jpg,median,1
phone4_SamsungGalaxyA34_4_low_light_median.jpg,median,12
phone4_SamsungGalaxyA34_5_Weather_Occulsion_median.jpg,median,0
phone5_NothingPhone2A_1_high_resolution_median.jpg,median,1
phone5_NothingPhone2A_2_low_resolution_median.jpg,median,0
phone5_NothingPhone2A_3_High_light_median.jpg,median,10
phone5_NothingPhone2A_4_low_light_median.jpg,median,0
phone5_NothingPhone2A_5_Weather_occulsion_median.jpg,median,0
phone1_iPhone15Plus_1_high_resolution_gaussian.jpg,gaussian,0
phone1_iPhone15Plus_2_low_resolution_gaussian.jpg,gaussian,3
phone1_iPhone15Plus_3_high_light_gaussian.jpg,gaussian,0
phone1_iPhone15Plus_4_low_light_gaussian.jpg,gaussian,0
phone1_iPhone15Plus_5_weather_occlusion_gaussian.jpg,gaussian,1
phone2_SamsungS21fe_1_high_resolution_gaussian.jpg,gaussian,0
phone2_SamsungS21fe_2_low_resolution_gaussian.jpg,gaussian,0
phone2_SamsungS21fe_3_high_light_gaussian.jpg,gaussian,1
phone2_SamsungS21fe_4_low_light_gaussian.jpg,gaussian,0
phone2_SamsungS21fe_5_weather_occlusion_gaussian.jpg,gaussian,0
phone3_OnePlus6T_1_high_resolution_gaussian.jpg,gaussian,0
phone3_OnePlus6T_2_low_resolution_gaussian.jpg,gaussian,0
phone3_OnePlus6T_3_high_light_gaussian.jpg,gaussian,0
phone3_OnePlus6T_4_low_light_gaussian.jpg,gaussian,1
phone3_OnePlus6T_5_Weather_occulsion_gaussian.jpg,gaussian,0
phone4_SamsungGalaxyA34_1_high_resolution_gaussian.jpg,gaussian,0
phone4_SamsungGalaxyA34_2_low_resolution_gaussian.jpg,gaussian,0
phone4_SamsungGalaxyA34_3_high_light_gaussian.jpg,gaussian,1
phone4_SamsungGalaxyA34_4_low_light_gaussian.jpg,gaussian,4
phone4_SamsungGalaxyA34_5_Weather_Occulsion_gaussian.jpg,gaussian,0
phone5_NothingPhone2A_1_high_resolution_gaussian.jpg,gaussian,1
phone5_NothingPhone2A_2_low_resolution_gaussian.jpg,gaussian,0
phone5_NothingPhone2A_3_High_light_gaussian.jpg,gaussian,6
phone5_NothingPhone2A_4_low_light_gaussian.jpg,gaussian,0
phone5_NothingPhone2A_5_Weather_occulsion_gaussian.jpg,gaussian,0
